 thêi gian 	2019-09-16_15:54	2019-09-16_15:54	2019-09-16_15:56	2019-09-16_15:57	2019-09-17_22:55	2019-09-18_11:29	2019-09-22_14:05	2019-09-22_16:41	2019-09-22_19:27	2019-09-24_08:02	2019-09-24_13:16	2019-09-26_09:13	2019-09-26_14:28	2019-09-26_23:21	2019-09-28_17:50	2019-09-28_18:00	2019-09-28_21:21
CÊp 66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
